클립 FFE809E7의 길이: 504초, 	'Turn'의 False 비율: 94.05%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.80%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809E9의 길이: 674초, 	'Turn'의 False 비율: 94.36%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809EA의 길이: 317초, 	'Turn'의 False 비율: 94.01%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809EB의 길이: 621초, 	'Turn'의 False 비율: 94.85%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809ED의 길이: 713초, 	'Turn'의 False 비율: 95.65%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F0의 길이: 624초, 	'Turn'의 False 비율: 97.76%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F1의 길이: 418초, 	'Turn'의 False 비율: 98.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.76%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F2의 길이: 500초, 	'Turn'의 False 비율: 94.40%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F3의 길이: 471초, 	'Turn'의 False 비율: 90.45%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F4의 길이: 459초, 	'Turn'의 False 비율: 92.81%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F6의 길이: 750초, 	'Turn'의 False 비율: 96.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F7의 길이: 525초, 	'Turn'의 False 비율: 97.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809F9의 길이: 876초, 	'Turn'의 False 비율: 95.55%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809FA의 길이: 653초, 	'Turn'의 False 비율: 95.10%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809FB의 길이: 627초, 	'Turn'의 False 비율: 96.17%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809FC의 길이: 563초, 	'Turn'의 False 비율: 96.63%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809FD의 길이: 703초, 	'Turn'의 False 비율: 96.87%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809FE의 길이: 585초, 	'Turn'의 False 비율: 95.38%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809FF의 길이: 556초, 	'Turn'의 False 비율: 93.88%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A00의 길이: 534초, 	'Turn'의 False 비율: 94.76%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A01의 길이: 643초, 	'Turn'의 False 비율: 95.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A02의 길이: 633초, 	'Turn'의 False 비율: 94.47%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A03의 길이: 716초, 	'Turn'의 False 비율: 96.65%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.86%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A04의 길이: 563초, 	'Turn'의 False 비율: 96.09%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A05의 길이: 412초, 	'Turn'의 False 비율: 97.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A06의 길이: 408초, 	'Turn'의 False 비율: 89.71%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A07의 길이: 464초, 	'Turn'의 False 비율: 90.09%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A08의 길이: 543초, 	'Turn'의 False 비율: 96.13%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A09의 길이: 477초, 	'Turn'의 False 비율: 95.60%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A0A의 길이: 753초, 	'Turn'의 False 비율: 96.41%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A0B의 길이: 709초, 	'Turn'의 False 비율: 94.22%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A0C의 길이: 485초, 	'Turn'의 False 비율: 93.81%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A0D의 길이: 347초, 	'Turn'의 False 비율: 91.93%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A0E의 길이: 469초, 	'Turn'의 False 비율: 95.95%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.79%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A10의 길이: 481초, 	'Turn'의 False 비율: 92.93%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A11의 길이: 492초, 	'Turn'의 False 비율: 94.72%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A12의 길이: 568초, 	'Turn'의 False 비율: 94.72%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE80A13의 길이: 518초, 	'Turn'의 False 비율: 93.82%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
